# southern hemisphere Optical Thickness at 550 nm
# from <a href="http://data.giss.nasa.gov/modelforce/strataer/">NASA/GISS</a>
# AOD [1] stratospheric aerosol optical depth
1850  1 0.004
1850  2 0.004
1850  3 0.004
1850  4 0.004
1850  5 0.004
1850  6 0.004
1850  7 0.003
1850  8 0.003
1850  9 0.003
1850 10 0.003
1850 11 0.003
1850 12 0.003
1851  1 0.003
1851  2 0.003
1851  3 0.003
1851  4 0.003
1851  5 0.003
1851  6 0.003
1851  7 0.002
1851  8 0.002
1851  9 0.002
1851 10 0.002
1851 11 0.002
1851 12 0.002
1852  1 0.002
1852  2 0.002
1852  3 0.002
1852  4 0.002
1852  5 0.002
1852  6 0.002
1852  7 0.001
1852  8 0.001
1852  9 0.001
1852 10 0.001
1852 11 0.001
1852 12 0.001
1853  1 0.001
1853  2 0.001
1853  3 0.001
1853  4 0.001
1853  5 0.001
1853  6 0.001
1853  7 0.001
1853  8 0.001
1853  9 0.001
1853 10 0.001
1853 11 0.000
1853 12 0.000
1854  1 0.000
1854  2 0.000
1854  3 0.000
1854  4 0.000
1854  5 0.000
1854  6 0.000
1854  7 0.000
1854  8 0.000
1854  9 0.000
1854 10 0.000
1854 11 0.000
1854 12 0.000
1855  1 0.000
1855  2 0.000
1855  3 0.000
1855  4 0.000
1855  5 0.000
1855  6 0.000
1855  7 0.000
1855  8 0.000
1855  9 0.000
1855 10 0.003
1855 11 0.007
1855 12 0.012
1856  1 0.017
1856  2 0.021
1856  3 0.026
1856  4 0.031
1856  5 0.035
1856  6 0.040
1856  7 0.043
1856  8 0.046
1856  9 0.048
1856 10 0.050
1856 11 0.052
1856 12 0.055
1857  1 0.057
1857  2 0.059
1857  3 0.062
1857  4 0.064
1857  5 0.066
1857  6 0.068
1857  7 0.068
1857  8 0.064
1857  9 0.060
1857 10 0.056
1857 11 0.052
1857 12 0.048
1858  1 0.044
1858  2 0.041
1858  3 0.037
1858  4 0.034
1858  5 0.032
1858  6 0.029
1858  7 0.027
1858  8 0.025
1858  9 0.023
1858 10 0.021
1858 11 0.019
1858 12 0.018
1859  1 0.016
1859  2 0.015
1859  3 0.014
1859  4 0.013
1859  5 0.012
1859  6 0.011
1859  7 0.010
1859  8 0.010
1859  9 0.009
1859 10 0.009
1859 11 0.008
1859 12 0.007
1860  1 0.007
1860  2 0.006
1860  3 0.006
1860  4 0.005
1860  5 0.005
1860  6 0.005
1860  7 0.004
1860  8 0.004
1860  9 0.004
1860 10 0.003
1860 11 0.003
1860 12 0.003
1861  1 0.003
1861  2 0.002
1861  3 0.002
1861  4 0.002
1861  5 0.002
1861  6 0.002
1861  7 0.002
1861  8 0.003
1861  9 0.004
1861 10 0.005
1861 11 0.007
1861 12 0.008
1862  1 0.009
1862  2 0.010
1862  3 0.012
1862  4 0.013
1862  5 0.014
1862  6 0.016
1862  7 0.016
1862  8 0.016
1862  9 0.015
1862 10 0.014
1862 11 0.014
1862 12 0.014
1863  1 0.013
1863  2 0.012
1863  3 0.012
1863  4 0.011
1863  5 0.011
1863  6 0.010
1863  7 0.010
1863  8 0.009
1863  9 0.009
1863 10 0.008
1863 11 0.008
1863 12 0.007
1864  1 0.007
1864  2 0.006
1864  3 0.006
1864  4 0.005
1864  5 0.005
1864  6 0.005
1864  7 0.004
1864  8 0.004
1864  9 0.004
1864 10 0.004
1864 11 0.003
1864 12 0.003
1865  1 0.003
1865  2 0.003
1865  3 0.002
1865  4 0.002
1865  5 0.002
1865  6 0.002
1865  7 0.002
1865  8 0.002
1865  9 0.002
1865 10 0.002
1865 11 0.001
1865 12 0.001
1866  1 0.001
1866  2 0.001
1866  3 0.001
1866  4 0.001
1866  5 0.001
1866  6 0.001
1866  7 0.001
1866  8 0.001
1866  9 0.001
1866 10 0.001
1866 11 0.001
1866 12 0.001
1867  1 0.001
1867  2 0.001
1867  3 0.000
1867  4 0.000
1867  5 0.000
1867  6 0.000
1867  7 0.000
1867  8 0.000
1867  9 0.000
1867 10 0.000
1867 11 0.000
1867 12 0.000
1868  1 0.000
1868  2 0.000
1868  3 0.000
1868  4 0.000
1868  5 0.000
1868  6 0.000
1868  7 0.000
1868  8 0.000
1868  9 0.000
1868 10 0.000
1868 11 0.000
1868 12 0.000
1869  1 0.000
1869  2 0.000
1869  3 0.001
1869  4 0.001
1869  5 0.001
1869  6 0.001
1869  7 0.001
1869  8 0.001
1869  9 0.001
1869 10 0.001
1869 11 0.001
